,ID,bed,bath,acre_lot,state,zip_code,house_size,prev_sold_date,price,price_per_sqfoot,month
8368,534505,3.0,3.0,0.78,New York,10987,1986.0,2021-10-28 00:00:00.000000,599000.0,302.0,2021-10
8369,534564,4.0,3.0,0.48,New York,10965,2700.0,2021-11-09 00:00:00.000000,899000.0,333.0,2021-11
8370,534619,5.0,2.0,0.11,New York,10977,1526.0,2021-08-23 00:00:00.000000,729000.0,478.0,2021-08
8371,534626,4.0,5.0,1.03,New Jersey,7470,4693.0,2021-08-16 00:00:00.000000,899000.0,192.0,2021-08
8372,534671,3.0,3.0,1.12,New Jersey,7843,2200.0,2021-03-15 00:00:00.000000,370000.0,168.0,2021-03
8373,534809,4.0,2.0,1.34,New Jersey,7860,1206.0,2021-04-16 00:00:00.000000,299000.0,248.0,2021-04
8374,534893,4.0,3.0,2.12,New York,10990,2575.0,2021-06-28 00:00:00.000000,785000.0,305.0,2021-06
8375,534905,4.0,3.0,0.19,New Jersey,7843,2367.0,2021-11-24 00:00:00.000000,529000.0,223.0,2021-11
8376,534965,3.0,1.0,0.14,New Jersey,7416,1331.0,2021-10-12 00:00:00.000000,299900.0,225.0,2021-10
8377,535037,4.0,3.0,0.36,New York,10925,1812.0,2021-07-26 00:00:00.000000,464900.0,257.0,2021-07
8378,535103,2.0,1.0,0.54,New Jersey,7871,660.0,2022-02-07 00:00:00.000000,150000.0,227.0,2022-02
8379,535112,3.0,2.0,0.71,New Jersey,7874,1398.0,2022-02-08 00:00:00.000000,299900.0,215.0,2022-02
8380,535157,2.0,1.0,0.26,New Jersey,7871,768.0,2021-04-09 00:00:00.000000,245000.0,319.0,2021-04
8381,535268,3.0,3.0,0.15,New Jersey,7419,2606.0,2021-06-17 00:00:00.000000,489900.0,188.0,2021-06
8382,535369,3.0,2.0,0.34,New Jersey,7419,1228.0,2021-04-15 00:00:00.000000,299000.0,243.0,2021-04
8383,535398,4.0,4.0,1.2,New York,10918,5084.0,2021-06-24 00:00:00.000000,768000.0,151.0,2021-06
8384,535486,5.0,3.0,0.92,New Jersey,7860,2302.0,2021-04-12 00:00:00.000000,475000.0,206.0,2021-04
8385,535560,5.0,4.0,0.43,New Jersey,7843,2544.0,2021-08-05 00:00:00.000000,589000.0,232.0,2021-08
8386,535621,4.0,3.0,2.84,New Jersey,7460,2755.0,2021-06-24 00:00:00.000000,500000.0,181.0,2021-06
8387,535635,2.0,1.0,0.19,New Jersey,7422,670.0,2021-07-08 00:00:00.000000,325000.0,485.0,2021-07
8388,535650,4.0,2.0,1.6,New York,10990,2088.0,2021-04-19 00:00:00.000000,695000.0,333.0,2021-04
8389,535724,3.0,3.0,0.78,New York,10987,1986.0,2021-10-28 00:00:00.000000,599000.0,302.0,2021-10
8390,536291,2.0,1.0,0.17,New Jersey,7630,7501.0,2021-07-01 00:00:00.000000,399000.0,53.0,2021-07
8391,536307,3.0,1.0,0.06,New Jersey,7502,962.0,2021-06-03 00:00:00.000000,189999.0,198.0,2021-06
8392,536635,4.0,3.0,0.15,New York,10523,1726.0,2021-11-17 00:00:00.000000,599000.0,347.0,2021-11
8393,536663,4.0,3.0,0.31,New York,10607,3270.0,2021-04-02 00:00:00.000000,799999.0,245.0,2021-04
8394,536789,6.0,6.0,0.22,New Jersey,7652,10312.0,2021-10-04 00:00:00.000000,1699000.0,165.0,2021-10
8395,537066,3.0,2.0,0.61,New York,10982,1916.0,2021-12-31 00:00:00.000000,800000.0,418.0,2021-12
8396,537223,6.0,4.0,0.23,New Jersey,7501,2208.0,2021-03-18 00:00:00.000000,599000.0,271.0,2021-03
8397,537409,3.0,2.0,0.37,New York,10965,1640.0,2021-09-01 00:00:00.000000,549000.0,335.0,2021-09
8398,537493,3.0,3.0,0.76,New York,10977,2163.0,2022-01-19 00:00:00.000000,799000.0,369.0,2022-01
8399,537552,4.0,3.0,0.15,New Jersey,7424,1308.0,2021-06-03 00:00:00.000000,469000.0,359.0,2021-06
8400,537933,4.0,5.0,1.03,New Jersey,7470,4693.0,2021-08-16 00:00:00.000000,899000.0,192.0,2021-08
8401,538228,9.0,10.0,2.27,New York,10583,12813.0,2022-02-23 00:00:00.000000,8450000.0,659.0,2022-02
8402,538261,7.0,3.0,0.06,New Jersey,7522,2500.0,2021-04-07 00:00:00.000000,439000.0,176.0,2021-04
8403,538288,2.0,2.0,0.11,New Jersey,7506,1460.0,2021-08-02 00:00:00.000000,399900.0,274.0,2021-08
8404,538357,5.0,5.0,1.03,New York,10960,3250.0,2021-04-21 00:00:00.000000,1295000.0,398.0,2021-04
8405,538459,6.0,7.0,0.3,New York,10583,5700.0,2021-10-13 00:00:00.000000,1975000.0,346.0,2021-10
8406,538495,8.0,4.0,0.17,New York,10703,3100.0,2021-03-17 00:00:00.000000,975000.0,315.0,2021-03
8407,538501,4.0,4.0,0.13,New Jersey,7014,2200.0,2021-03-09 00:00:00.000000,899000.0,409.0,2021-03
8408,538504,2.0,1.0,0.17,New Jersey,7630,7501.0,2021-07-01 00:00:00.000000,399000.0,53.0,2021-07
8409,538702,4.0,2.0,0.34,New York,10994,2001.0,2021-12-30 00:00:00.000000,727000.0,363.0,2021-12
8410,538709,3.0,3.0,0.31,New York,10502,1905.0,2021-10-27 00:00:00.000000,929000.0,488.0,2021-10
8411,538710,4.0,2.0,0.16,New York,10583,2300.0,2021-12-16 00:00:00.000000,1100000.0,478.0,2021-12
8412,539317,4.0,3.0,0.48,New York,10965,2700.0,2021-11-09 00:00:00.000000,899000.0,333.0,2021-11
8413,539379,5.0,2.0,0.03,New Jersey,7105,2211.0,2021-07-22 00:00:00.000000,550000.0,249.0,2021-07
8414,539454,1.0,2.0,0.7,New York,10022,1000.0,2021-07-20 00:00:00.000000,830000.0,830.0,2021-07
8415,539479,4.0,5.0,0.13,New York,10303,2735.0,2021-12-29 00:00:00.000000,799000.0,292.0,2021-12
8416,539519,4.0,4.0,0.08,New York,10305,2897.0,2021-04-27 00:00:00.000000,999000.0,345.0,2021-04
8417,539706,5.0,5.0,0.25,New Jersey,7066,3465.0,2021-08-20 00:00:00.000000,1195000.0,345.0,2021-08
8418,540250,5.0,4.0,0.17,New Jersey,7028,2665.0,2021-09-22 00:00:00.000000,775000.0,291.0,2021-09
