,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price,month
614215,for_sale,7.0,6.0,0.24,Livingston,New Jersey,7039.0,4600.0,2021-11-05,1500000.0,2021-11
614394,for_sale,1.0,1.0,0.01,Bernards Twp,New Jersey,7920.0,750.0,2021-06-29,244900.0,2021-06
614530,for_sale,4.0,4.0,0.15,Edison,New Jersey,8817.0,2219.0,2021-08-16,719000.0,2021-08
614707,for_sale,1.0,1.0,0.07,Woodbridge Proper,New Jersey,7095.0,572.0,2021-12-10,249000.0,2021-12
614832,for_sale,4.0,2.0,0.48,South Brunswick,New Jersey,8824.0,1318.0,2022-01-27,489000.0,2022-01
614837,for_sale,3.0,2.0,0.11,West Orange,New Jersey,7052.0,1450.0,2021-09-20,459000.0,2021-09
614866,for_sale,3.0,2.0,0.11,South Plainfield,New Jersey,7080.0,1200.0,2021-10-12,414900.0,2021-10
614931,for_sale,7.0,6.0,0.6,Summit,New Jersey,7901.0,5344.0,2021-12-13,2195000.0,2021-12
614987,for_sale,3.0,2.0,0.16,Dunellen,New Jersey,8812.0,1350.0,2021-09-16,419900.0,2021-09
615066,for_sale,2.0,1.0,0.02,New Brunswick,New Jersey,8901.0,908.0,2021-09-28,225000.0,2021-09
615104,for_sale,6.0,8.0,2.0,Livingston,New Jersey,7039.0,7880.0,2021-07-26,2100000.0,2021-07
615343,for_sale,4.0,3.0,0.57,Millburn,New Jersey,7078.0,3041.0,2022-02-22,1499000.0,2022-02
615397,for_sale,5.0,3.0,0.06,Newark,New Jersey,7103.0,19998.0,2021-04-09,400000.0,2021-04
615554,for_sale,5.0,5.0,0.28,Princeton,New Jersey,8540.0,4252.0,2022-01-27,2375000.0,2022-01
615581,for_sale,3.0,3.0,0.35,Woodbridge Proper,New Jersey,7095.0,2125.0,2021-08-10,629900.0,2021-08
615587,for_sale,3.0,2.0,0.23,New Providence,New Jersey,7974.0,1562.0,2022-02-18,519900.0,2022-02
615644,for_sale,5.0,2.0,0.15,Edison,New Jersey,8817.0,1440.0,2021-06-28,299999.0,2021-06
615675,for_sale,4.0,3.0,2.59,South Plainfield,New Jersey,7080.0,2750.0,2022-01-11,679000.0,2022-01
615678,for_sale,5.0,5.0,0.17,Metuchen,New Jersey,8840.0,3241.0,2021-12-09,989999.0,2021-12
615686,for_sale,4.0,1.0,0.11,Middlesex,New Jersey,8846.0,1010.0,2021-11-01,249999.0,2021-11
615687,for_sale,3.0,2.0,0.23,South River,New Jersey,8882.0,1523.0,2021-05-26,309000.0,2021-05
615689,for_sale,2.0,3.0,0.2,North Brunswick,New Jersey,8902.0,1621.0,2021-10-04,314900.0,2021-10
615691,for_sale,2.0,2.0,0.02,New Brunswick,New Jersey,8901.0,1692.0,2021-08-30,249900.0,2021-08
615694,for_sale,3.0,2.0,0.11,Carteret,New Jersey,7008.0,1728.0,2021-09-29,395000.0,2021-09
615706,for_sale,4.0,2.0,0.19,Colonia,New Jersey,7067.0,1674.0,2022-01-31,459000.0,2022-01
615711,for_sale,4.0,4.0,0.1,Avenel,New Jersey,7001.0,1620.0,2022-02-25,460000.0,2022-02
615712,for_sale,4.0,5.0,0.11,Metuchen,New Jersey,8840.0,760.0,2021-04-08,770000.0,2021-04
615714,for_sale,5.0,3.0,0.22,Edison,New Jersey,8817.0,2567.0,2021-12-03,714999.0,2021-12
615715,for_sale,5.0,3.0,0.21,Edison,New Jersey,8817.0,2567.0,2021-12-03,714999.0,2021-12
615716,for_sale,5.0,4.0,0.18,Metuchen,New Jersey,8840.0,3187.0,2021-04-15,899000.0,2021-04
615717,for_sale,5.0,5.0,0.48,South Brunswick,New Jersey,8512.0,4102.0,2021-07-28,1095000.0,2021-07
615719,for_sale,5.0,3.0,0.22,Edison,New Jersey,8817.0,814.0,2021-11-01,719999.0,2021-11
615721,for_sale,5.0,5.0,0.46,Edison,New Jersey,8820.0,4712.0,2021-03-11,1385000.0,2021-03
615752,for_sale,4.0,2.0,0.32,South Brunswick,New Jersey,8824.0,1452.0,2021-07-13,425000.0,2021-07
615754,for_sale,6.0,4.0,0.41,North Brunswick,New Jersey,8902.0,2832.0,2021-09-15,650000.0,2021-09
615759,for_sale,4.0,2.0,0.29,Piscataway,New Jersey,8854.0,1676.0,2021-04-20,384999.0,2021-04
615775,for_sale,3.0,1.0,0.25,South River,New Jersey,8882.0,1374.0,2021-11-15,399900.0,2021-11
615791,for_sale,4.0,4.0,1.0,Colonia,New Jersey,7067.0,2851.0,2021-10-22,849900.0,2021-10
615808,for_sale,3.0,3.0,11236.0,South Brunswick,New Jersey,8824.0,2263.0,2021-05-13,379900.0,2021-05
615832,for_sale,3.0,2.0,0.11,New Brunswick,New Jersey,8901.0,1188.0,2021-10-26,318000.0,2021-10
615843,for_sale,3.0,2.0,0.08,Woodbridge Proper,New Jersey,7095.0,1404.0,2021-09-24,379900.0,2021-09
615856,for_sale,4.0,2.0,0.16,Dunellen,New Jersey,8812.0,2176.0,2021-12-14,435000.0,2021-12
615857,for_sale,4.0,3.0,0.26,Fords,New Jersey,8863.0,1184.0,2021-10-14,384900.0,2021-10
615859,for_sale,5.0,2.0,0.26,North Brunswick,New Jersey,8902.0,1824.0,2022-01-13,390000.0,2022-01
615865,for_sale,3.0,2.0,0.25,Edison,New Jersey,8820.0,1554.0,2021-06-07,639000.0,2021-06
615868,for_sale,4.0,3.0,0.11,Edison,New Jersey,8837.0,2009.0,2021-08-31,549900.0,2021-08
615873,for_sale,3.0,2.0,0.08,Maplewood,New Jersey,7040.0,1358.0,2022-03-07,535000.0,2022-03
615874,for_sale,3.0,2.0,0.38,East Brunswick,New Jersey,8816.0,1632.0,2022-02-09,409900.0,2022-02
